Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Prodi
"KEWENANGAN DEWAN PERWAKILAN RAKYAT DAERAH (DPRD) DALAM MEMBERHENTIKAN KEPALA DAERAH YANG DIPILIH
SECARA LANGSUNG OLEH RAKYAT MENURUT UNDANG-UNDANG DASAR NEGARA REPUBLIK INDONESIA TAHUN 1945"," Abdul Halim, SH"," Prof. Dr. Nunuk Nuswaedhani, SH. MH.","Dr. Indien Winarwati, SH.,MH","Peran DPRD dalam pelaksanaan pemilihan kepala daerah selalu mengalami dinamika dari waktu ke waktu seiring dengan dinamika perubahan pengaturan pemilihan kepala daerah mulai sejak zaman penjajahan sampai saat ini, khususnya terkait dengan mekanisme pemilihannya, apakah dilaksanakan secara langsung atau cukup dilakukan oleh DPRD. Pada dasarnya, berdasarkan dinamika perubahan peraturan perundangan yang mengatur tentang pemerintahan daerah dan pemilihan kepala daerah, setidaknya peran DPRD dalam pelaksanaan pemilihan kepala daerah dapat dibagi menjadi tiga macam, yaitu :  pertama, menjadi penentu langsung terpilihnya kepala daerah melalui pemilihan di DPRD, kedua, melakukan pemilihan berupa penjaringan beberapa nama calon kepala daerah untuk diusulkan kepada Presiden/Menteri Dalam Negeri, dan ketiga, hanya sebatas melakukan monitoring/pengawasan terhadap pelaksanaan pemilihan kepala daerah, karena kepala daerah dilaksnakan secara langsung dengan penyelenggaranya adalah komisi pemilihan umum. 
Kewenangan DPRD dalam pemerhentian kepala daerah sangat dipengaruhi oleh dinamika hubungan kewenangan antara DPRD dan kepala daerah. ada tiga pola kewenangan DPRD dalam pemberhentian kepala daerah, yaitu : DPRD tidak berwenang, DPRD berwenang secara absolut dalam pemberhentian kepala daerah, dan DPRD hanya berwenang mengusulan pemberhentian kepala daerah. Dengan telah dipilihnya sistem pemilihan kepala daerah secara langsung oleh rakyat, maka semestinya DPRD tidak lagi memiliki kewenangan untuk memberhentikan kepala daerah, kecuali hanya sebatas mengusulkan berdasarkan putusan hukum yang sudah final",24
KEDUDUKAN SEKRETARIAT KOMISI PEMILIHAN UMUM KABUPATEN DALAM PENYELENGGARAAN PEMILIHAN UMUM BUPATI DAN WAKIL BUPATI, RIZAL EFFENDY," Prof. Dr. Nunuk Nuswardhani, SH. MH.","Dr. Indien Winarwati, SH.,MH","Dalam Undang-Undang Nomor 15 Tahun 2011 tentang penyelenggaraan Pemilihan Umum (selanjutnya disebut dengan PEMILU), dinyatakan bahwa Pemilu, adalah sarana pelaksanaan kedaulatan rakyat yang diselenggarakan secara langsung, umum, bebas, rahasia, jujur, dan adil dalam Negara Kesatuan Republik Indonesia berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
Lembaga negara yang menyelenggarakan Pemilihan Umum di Indonesia yang ditegaskan dalam Pasal 22E UUD 1945 yang kemudian diatur lebih lanjut dengan beberapa undang-undang, terakhir dengan Undang-Undang Nomor 15 Tahun 2011 Tentang Penyelenggara Pemilihan Umum adalah Komisi Pemilihan Umum  ( KPU ).  
KPU Kabupaten/Kota dalam menyelenggaraakan pemilihan umum bupati dan wakil bupati, maka dipandang perlu keberadaan KPU harus didukung oleh lembaga teknis lainnya yaitu sekreatriat KPU. Pasal 55 Undang-Undang Nomor 15 Tahun 2011 menyatakan bahwa untuk mendukung kelancaran tugas dan wewenang KPU, KPU Provinsi, dan KPU Kabupaten/Kota, dibentuk Sekretariat Jenderal KPU, sekretariat KPU Provinsi, dan sekretariat KPU Kabupaten/Kota.
Secara hubungan kerja, antara KPU dengan Sekretariat KPU merupakan kesatuan tugas dalam menyelenggarakan Pemilu. Dalam hal ini, KPU sebagai badan yang menetapkan segala mekanisme tentang pelaksanaan Pemilu, sedangkan sekretariat KPU, sebagai pelaksana kebijakan yang telah ditetapkan dan diputuskan oleh KPU.",24
PENYELESAIAN SENGKETA PEMILIHAN KEPALA DESA DALAM SISTEM P EMILIHAN UMUM," SOBRI, SH"," Dr. Indien Winarwati, SH., MH                     ","Dr. Nurus Zaman, SH., MH ","Penyelenggaraan pemerintah desa tidak dapat lepas dari jabatan Kepala Desa.  Pemerintah  desa  dipimpin  oleh  seorang  Kepala  Desa   yang  dipilih masyarakat desa yang sudah mempunyai hak memilih. Pemilihan kepala desa dilakukan secara langsung sebagaimana diatur dalam UU No. 6 Tahun 2014 tentang Desa, PP No. 43 tentang Pelaksanaan UU Desa dan Permendagri No. 112
Tahun 2014 tentang Pemilihan Kepala Desa.
Metode penelitian yang digunakan dalam penulisan tesis ini menggunakan penelitian Yuridis Normatif, yaitu metode penelitian yang mengedepankan bahan hukum kepustakaan. Pendekatan penelitian yang digunakan adalah: Pendekatan Perundang-undangan (Statute Approach) dan pendekatan konseptual (Conseptual Approach).
Hasil penelitian tesis ini: Pertama, Undang-undang No. 6 Tahun 2014 tentang Desa tidak mengatur pemilihan kepala desa bagian dari sistem pemilu. Berbeda dengan pemilihan legislatif dan pemilihan kepala daerah. Sehingga penyelesaiannya juga berbeda. Kedua, Penyelesaian sengketa terkait proses pemilihan diselesaikan oleh panitia pemilihan tingkat desa. Penyelesaian sengketa terkait hasil perhitungan suara, maka penyelesaian sengketa pemilihan dilakukan oleh Bupati/Walikota dengan tenggang waktu 30 (tiga puluh) hari. Dalam hal ini Bupati/Walikota wajib secara hukum untuk menyelesaikan sengketa dalam pemilihan kepala desa sebagaimana diatur dalam UU No. 6 Tahun 2014.

Kata Kunci: Pemilihan Kepala Desa dan Penyelesaian Sengketa
",24
ASPEK HUKUM NASABAH (KONSUMEN) PERBANKA PENGGUNA KARTU KREDIT, Putri Wandha Maulidia. S.Kom," Dr. H. Moh. Amir Hamzah, S.H., M.H.","Dr. Djulaeka, SH. M.Hum","Tesis ini membahas mengenai perlindungan hukum bagi nasabah perbanka dalam penggunaan kartu kredit dinjau dari perundang-undangan. Maraknya kejahatan penggunaan kartu kredit dengan menggunakan berbagai macam tekhnologi canggih, yang disebut cyber crime. Yang dimana, segala tindak kejahatan tentang informai dan transaksi elektronik, telah diatur pada Undang-undang nomor 11 tahun 2008.
 Penelitian ini menggunakan Metode Penelitian Hukum Empiris. Hasil penelitian ini menunjukkan bahwa Konsumen adalah setiap orang pemakai barang dan/atau jasa yang tersedia dalam masyarakat, baik bagi kepentingan diri sendiri, keluarga, orang lain, maupun makhluk hidup lain dan tidak untuk diperdagangkan. Sedangkan perbanka atau yang disebut pelaku usaha adalah setiap orang perseorangan atau badan usaha, baik yang berbentuk badan hukum maupun bukan badan hukum yang didirikan dan berkedudukan atau melakukan kegiatan dalam wilayah hukum negara Republik Indonesia, baik sendiri maupun bersama-sama melalui perjanjian menyelenggarakan kegiatan usaha dalam berbagai bidang ekonomi. Segala kegiatan konsumen dalam dunia perbanka, telah dilindungi pada Undang-undang no. 8 tahun 1999.

Kata Kunci : Kartu kredit, cyber crime, metode penelitian
",24
PERLINDUNGAN HUKUM BAGI INVESTOR ASING DI BIDANG INVESTASI TIDAK LANGSUNG DALAM PERJANJIAN BANGUN GUNA SERAH," Ing. Makshal Faray Kuddah, S.T., B.BE."," Dr. Mufarrijul Ikhwan, S.H., M.Hum.","Dr. Djulaeka, S.H., M.Hum.","Tesis ini membahas perlindungan hukum bagi investor asing di bidang investasi tidak langsung dalam perjanjian bangun guna serah dari sudut pandang peraturan perundang-undangan. Metode penelitian yang digunakan adalah metode penelitian yuridis normatif dengan pendekatan peraturan perundang-undangan (statute approach) dan pendekatan konsep (conseptual approach). Hasil penelitian ini menunjukkan bahwa investor asing mempunyai kedudukan sebagai pihak sponsor yang melebur ke dalam dan merupakan bagian dari pihak swasta. Investor asing tidak dapat berperan secara langsung sebagai project company karena terkendala dengan Pasal 5 ayat (2) Undang-Undang Nomor 25 Tahun 2007 tentang Penanaman Modal. Selain itu, Undang-Undang Nomor 25 Tahun 2007 tentang Penanaman Modal hanya mengatur mengenai penyelesaian sengketa penanaman modal secara umum. Untuk itu, dalam konteks perjanjian kerjasama BOT, maka perlindungan hukum terhadap investor asing hanya terdapat dalam perjanjian yang dibuatnya (sebagai sponsor) dengan project company (swasta) yang melakukan kerjasama BOT dengan pemerintah.  Dengan demikian, keberadaan perjanjian inevestor asing dengan pihak swasta dalam menanamkan modalnya menjadi penting.

Kata kunci: Perlindungan Hukum, Investor Asing, Investasi, Perjanjian, Bangun   Guna Serah
",24
PELAKSANAAN PERATURAN MENTERI PERDANGANGAN REPUBLIK INDONESIA NOMOR 15/M-DAG/PER/4/2013 TENTANG PENGADAAN DAN PENYALURAN PUPUK BERSUBSIDI UNTUK SEKTOR PERTANIAN," H. Saleh Farhat, S.H."," Dr. H. Moh. Amir Hamzah, S.H., M.H.","Dr. Mufarrijul Ikhwan, S.H., M.Hum.","Pupuk merupakan salah satu input penting dalam meningkatkan produktivitas tanaman pangan, sehingga keberadaan dan pemanfaatannya memiliki posisi yang strategis. Salah satu kebijakan dalam pengadaan pupuk adalah subsidi pupuk. Subsidi pupuk sudah lama diterapkan dengan berbagai kebijakan yang mengikutinya seperti kebijakan pengadaan pupuk, distribusi pupuk dan pengawasan pupuk bersubsidi. Dalam pelaksanaannya kebijakan subsidi pupuk ini belum optimal sehingga diperlukan langkah perbaikan seperti: 1 pengawasan 2 pengalokasian pupuk (kuota) ditingkatkan dari kebutuhan untuk satu tahun menjadi rincian kebutuhan pupuk selama dua tahun, 3 titik bagi terakhir berada di kelompok tani (lini v), 4 penentuan kios pengecer sesuai dengan aturan yang semestinya dan 5 pengalokasian dana yang cukup.
Kata kunci : , pengawasan, subsidi, pupuk, pelaksanaan, strategi, perbaikan",24
EFEKTIFITAS PERATURAN KEPALA BADAN PERTANAHAN NASIONAL REPUBLIK INDONESIA NOMOR 18 TAHUN 2009 TENTANG PROGRAM LARASATI (LAYANAN RAKYAT UNTUK SERTIPIKAT TANAH) DIKABUPATEN BANGKALAN," Hj. Yuni Purwandari, S.H."," Dr. Mufarrijul Ikhwan, S.H., M.Hum.","Dr. Djulaeka, S.H., M.Hum.","Berdasarkan hasil penelitian dapat disimpulkan bahwa Kualitas Pelayanan Sertifikasi Tanah Melalui Program Larasita di Kabupaten Bangkalan sudah berjalan dengan baik, kualitas tersebut meliputi: 1. Bukti Langsung, yaitu sosialisasi yang terus menerus dilakukan, serta dengan peralatan yang lengkap dan modern, dan hasil yang telah dicapai selama tiga tahun adalah 10.207 bidang tanah sudah bersertifikat 2. Kehandalan yaitu melakukan proses pelayanan yang cepat dan teliti sesuai dengan prosedur yang telah ditetapkan 3. Daya Tanggap yaitu menjawab dengan jelas dan cepat keluhan dari masyarakat mengenai masalah pertanahan 4. Jaminan yaitu kemampuan dan pengetahuan dari petugas larasita yang baik dan transparan dalam hal biaya untuk pensertifikatan 5. Empati yaitu sikap yang baik, sopan santun dan sedikit perhatian dari petugas kepada masyarakat pengguna jasa Larasita. Faktor-faktor pendukungnya antara lain: aturan, organisasi, pendapatan, kemampuan dan keterampilan, serta sarana pelayanan. Sedang untuk faktor penghambatnya adalah mengenai masih kurangnya kesadaran masyarakat untuk melakukan sertifikasi tanah.",24
PENGANGKATAN ANAK DALAM KOMPILASI HUKUM ISLAM, FEBRY EMAWAN DEWATA, DR. USWATUN HASANAH,DR. MURNI,"Penelitian ini dilakukan sebagai salah-satu solusi pengaturan anak angkat yang
memiliki berbagai permasalahan. Fokus kajian dalam penelitian ini ialah; 1)
Kebenaran penetapan pengadilan agama sebagai syarat pengangkatan anak
dalam Kompilasi Hukum Islam dapat dibenarkan menurut Hukum Islam; 2)
Landasan filosofis pengaturan wasiat wajibah bagi anak angkat dalam Kompilasi
Hukum Islam. Hasil penelitian ini menjelaskan bahwa pengaturan penetapan
pengangkatan anak oleh pengadilan agama tidak bertentangan dengan hukum
Islam, hal ini disebabkan oleh pengangkatan anak tersebut merupakan hasil
kesepakatan ulama’ yang tertuang dalam KHI dan keberlakuannya memiliki
kesamaan dengan ijma’ dalam dalam tradisi Hukum Islam. Penelitian ini juga
menyimpulkan bahwa pengaturan penetapan wasiat wajibah harus dilakukan
secara kasuiistik sesuai tingkat kesejahteraan anak angkat.",24
"KEPUTUSAN PANITIA PEMILIHAN KEPALA DESA  (P2KD)
DALAM PEMILIHAN KEPALA DESA 
MENURUT HUKUM ADMINISTRASI NEGARA
", Moh.Jamali," Prof.Dr.Nunuk Nurwadani,S.H,MH","Dr.Nurus Zaman,S.H,MH","Pemilihan kepala desa dinilai sebagai bagian agenda pembangunan demokrasi yang sebanarnya. Karena cikal bakal pemilihan pemimpin di Indonesia yang dipilih secara langsung berawal dari pemilihan kepala desa. Pemilihan kepala desa membutuhkan Panitia yang menangani proses sampai menetapkan hasilnya. Panitia dalam memutuskan pihak yang menang kadangkala menimbulkan persoalan dari pihak yang dinyatakan tidak lolos. 
Jenis penelitian yang digunakan dalam penulisan tesis ini menggunakan jenis penelitian normative. Pendekatan yang digunakan Pendekatan Perundang-undangan (Statute Approach), dan Pendekatan Konseptual (Conceptual Approach).
Hasil Penelitian (1) Kekuatan hukum hasil keputusan yang dikeluarkan oleh panitia pemilihan kepala desa (P2KD) terdapat dua tingkatan, yaitu: Pertama, keputusan terkait dengan lolosnya bakal calon menjadi calon kepala desa secara administrasi. Kedua, keputusan dan/atau ketetapan panitia kepala desa terkait dengan keputusan dan/atau ketetapan pihak yang menang dalam pemilihan desa. Tanggungjawab keputusan hasil yang dikeluarkan oleh panitia pemilihan kepala desa (P2KD) tidak menjadi tanggungjawab panitia pemilihan kepala desa tingkat desa. Hal ini karena, hasil keputusan Panitia Pemilihan Kepala Desa tidak dapat di gugat ke Pengadilan tata Usaha Negara. 
Kata Kunci: Keputusan Panitia, dan Pemilihan Kepala Desa
",24
KEWENANGAN PENGADILAN AGAMA UNTUK MENGADILI SENGKETA YANG TERIKAT DALAM PERJANJIAN ARBITRASE," PUSPITA NUR A,S.E"," DR.Hj.USWATUN HASANAH, S.H,M.HUM","DR.DJULAEKA, S.H,M.HUM","Amandemen Undang-Undang Nomor 7 Tahun 1989 dengan Undang-Undang Nomor 3 Tahun 2006 tentang Peradilan Agama menegaskan bahwa Pengadilan memiliki kewenangan absolut untuk mengadili sengketa ekonomi syariah. Penting diketahui bahwa sengketa ekonomi syariah dapat pula diselesaikan melalui jalur non litigasi yaitu melalui badan Arbitrase. DalamUndang-Undang Nomor 30 Tahun 1999 tentang Arbitrase dan Alternatif Penyelesaian Sengketa menegaskan bahwa Pengadilan Negeri tidak berwenang mengadili sengketa yang berklausula Arbitrase. Namun kenyataannya terdapat sengketa berklausula Arbitrase yang diadili bahkan diputus oleh sebuah Pengadilan Agama, yaitu perkara nomor 882/Pdt.G/2010/PA.Sit. Fakta di atas menarik perhatian penulis untuk meninjau lebih dalam terkait dasar Pengadilan Agama menerima perkara yangjelas-jelas mengandung perjanjian Arbitrase. 
Kata Kunci : Kewenangan, Pengadilan Agama, dan Perjanjian Arbitrase. ",24
KEWENANGAN PERADILAN AGAMA DALAM MEMUTUS PERKARA PERCERAIAN AKIBAT MURTAD ," FATMAWATI, S.H"," DR.DJULAEKA, S.H,M.HUM","DR.Hj.MURNI, S.H,M.HUM","Pasal 49 Undang-Undang Nomor 3 Tahun 2006 Tentang Peradilan Agama menegaskan bahwa kewenangan peradilan agama terbatas pada perkaraperkara yang terjadi antara umat Islam di Indonesia seputar perkawinan, Perceraian, shadaqah, infaq, wasiat, hibah, zakat, wakaf, dan ekonomi syariah. Pengaturan tersebut berimpilikasi pada ketentuan yang boleh berperkara di pengadilan agama hanyalah orang Islam (asas personalisasi). Pada kenyataannya, praktik yang sering ditemui di peradilan agama ialah kegiatan memutus perceraian akibat murtad. Tentu hal tersebut bertentangan dengan asas personalisasi yang melekat pada peradilan agama. Penelitian ini penting guna memastikan bahwa tindakan yang dilakukan peradilan agama tersebut telah sesuai dengan ketentuan hukum yang berlaku demi menjamin kepastian hukum pihak-pihak yang berperkara dalam persoalan perceraian akibat murtad. Kata Kunci : Kewenangan, Perceraian, Murtad, dan Peradilan Agama. 
 ",24
ASPEK YURIDIS TERHADAP REHABILITASI PECANDU NARKOBA (Analisa Peraturan  Bersama Tujuh Lembaga Negara Republik Indonesia Tentang Rehabilitasi Bagi Pecandu Narkoba), EKO SETIAWAN," Dr. Eny Suastuti, SH, M.hum     ","Dr. Syamsul Fatoni, SH, MH ","Judul dari tesis ini adalah “ASPEK YURIDIS TERHADAP REHABILITASI PECANDU NARKOBA (Analisa Peraturan  Bersama Tujuh Lembaga Negara Republik Indonesia Tentang Rehabilitasi Bagi Pecandu Narkoba)”. Adapun latar belakang dari penulisan tesis ini adalah berdasar fakta di lapangan menunjukkan bahwa hakim cenderung menjatuhkan sanksi pidana penjara pada pecandu. Akibatnya pecandu narkotika mendekam di lapas tanpa diberi kesempatan untuk direhabilitasi, sehingga pelaksanaan rehabilitasi belum berjalan secara maksimal
Adapun permasalahan yang diteliti dalam tesis ini adalah: a) Apakah sudah tepat rumusan pasal 103 dengan kata dapat yang digunakan dalam mengatur rehabilitasi terhadap pecandu narkoba? b) Bagaimana pengaturan peradilan dan non peradilan terhadap penetapan rehabilitasi pecandu narkoba?
Sedangkan tipe dari penelitian ini adalah penelitian hukum normatif dengan pendekatan konsep dan perundang-undangan.
Adapun hasil dari penelitian ini menunjukkan bahwa: pertama, Rumusan pasal 103 dengan kata dapat yang digunakan dalam mengatur rehabilitasi terhadap pecandu narkoba kurang tepat, karena dalam pasal 54 menyebutkan kata wajib bagi pecandu untuk direhabilitasi, selain itu perkembangan penyalahgunaan narkoba semakin pesat, maka dalam pasal 103 harus diperketat dengan mengantikan kata dapat menjadi kata wajib.Kedua, penetapan rehabilitasi pecandu narkoba dengan peradilan diatur dalam Pasal 127 ayat (3) Undang-Undang Nomor 35 tahun 2009 tentang Narkotika, sedangkan penetapan non peradilan diatur dalamperaturan pemerintah nomor 25 tahun 2011 tentang pelaksanaan wajib lapor pecandu narkotika dan diatur dalam peraturan bersama tujuh lembaga
",24
"PERTANGGUNGJAWABAN TINDAKAN MEDIS 
DALAM KEADAAN GAWAT DARURAT.
", SONNY MARTA MARDANA," Dr. Deni Setya Bagus Yuherawan, SH., MS","Dr. Eny Suastuti, SH., M.Hum","Hukum kesehatan dalam hal ini merupakan suatu rangkaian aturan yang berkaitan penting dalam upaya pelayanan kesehatan bagi pelayan kesehatan khususnya seorang dokter kepada pasien, hubungan antara seorang dokter dengan pasien disebut transaksi terapeutik, transaksi terapeutik ini berkaitan dengan langkah awal seorang pasien kepada dokter selaku penyakit yang paisen derita baik itu diagnose, dan alternative tindakan medis yang diberikan. Transaksi terapeutik melahirkan suatu persetujuan demi kepentingan bersama antara dokter dengan pasien dalam melaksanakan tindakan medis yang disebut informed consent dengan tujuan agar pasien atau keluarga pasien mendapat kebebasan dalam menentukan haknya untuk menyetujui atau menolak suatu tindakan yang akan diberikan kepada pasien oleh dokter sehingga tim kesehatan dalam melaksanakan tugasnya tetap pada koridor aturan perundang-undangan. Dalam kaitannya persetujuan tindakan medis dalam keadaan gawat darurat atau mengandung resiko tinggi tidak dapat dilakukan persetujuan tindakan medis pada umumnya, karena sifatnya yang mendesak dan emergency maka prosedur tersebut dikesampingkan dan yang lebih utama ialah untuk menyelamatkan jiwa pasien dan tindakan medis akan dicatat dalam buku Rekam Medis bahwa tindakan tersebut ialah life saving, bilamana telah selesai dalam melakukan tindakan medis seorang dokter harus memberitahukan setelah pasien sadar atau keluarga pasien sesegera mungkin.
Kata kunci : informed consent, gawat darurat, malpraktik medis
",24
"“IMPLIKASI YURIDIS PENGGANTIAN IDENTITAS BAGI SAKSI
DALAM TERJADINYA TINDAK PIDANA TERTENTU MENURUT
UNDANG UNDANG NOMOR 13 TAHUN 2006 TENTANG
PERLINDUNGAN SAKSI DAN KORBAN”", Ryan Prima," Dr. Wartiningsih, S.H., M.Hum. ","Dr. Syamsul Fatoni, S.H., M.H.","Penelitian hukum ini bertujuan untuk menjawab dua masalah. Pertama, mengenai hambatan
perlindungan saksi dalam penggantian identitas dalam terjadinya tindak pidana tertentu menurut
Undang-undang LPSK. Kedua, mengenai implikasi yuridis penggantian Identitas bagi saksi dan
korban. Penelitian hukum ini menggunakan pendekatan perundang-undangan dan pendekatan
perbandingan. Sementara itu, bahan penelitian dihimpun melalui bahan hukum primer dan bahan
hukum sekunder. Selanjutnya, teknik pengumpulan dan analisis bahan hukum dilakukan melalui
pengorganisasian, penyuntingan, kemudian dianalisis dengan menggunakan tehnik pengolahan
data secara kualitatif. Hasil penelitian ini menyimpulkan 
Kata kunci: perlindungan saksi, penggantian identitas.",24
Pertanggungjawaban Pidana Bagi Pelaku Penebangan Tanpa Ijin Yang Dikelola Oleh Perhutani," Andy Purnomo, S.H."," Dr. Wartiningsih, SH. M. Hum","Dr. Syamsul Fatoni, S.H., M.H","Hutan perlu dijaga agar tetap dapat berfungsi. Pemanfaatan dan penggunaan kawasan hutan harus dilaksanakan secara tepat dan berkelanjutan dengan mempertimbangkan fungsi ekologis, sosial, dan ekonomis. Kasus kerusakan hutan terjadi pada hari Kamis tanggal 24 April 2014, yang mengakibatkan Negara mengalami kerugian materiil sebesar Rp. 82.714.573,-Tipe penelitian yang digunakan dalam penulisan tesis ini adalah penelitian hukum yuridis normatif. Bahan hukum dianalisis dengan menggunakan penalaran yang bersifat deduktif. Kasus tindak pidana menebang pohon di areal milik Perhutani ini dapat dikategorikan sebagai pembalakan liar sebagaimana diatur dalam ketentuan Pasal 94 ayat (1) UU No. 18 Th. 2013, karena perbuatannya telah memenuhi seluruh unsur Pasal 94 ayat (1) huruf a jo Pasal 19 ayat (1) huruf a UU No. 18 Th. 2013.
Kata kunci—Hutan,Hukum, Pembalakan Liar, Perhutani",24
ANCAMAN PIDANA BAGI KORPORASI PELAKU ILLEGAL LOGGING DALAM UNDANG-UNDANG NOMOR 18 TAHUN 2013 TENTANG PENCEGAHAN DAN PEMBERANTASAN PENGRUSAKAN HUTAN," ABRORI, SH"," Dr. Wartiningsih, SH, Mhum.","Dr. Mufarrijul Ikhwan, SH,. Mhum.","Korporasi dalam ruang geraknya dimaksudkan untuk memberikan kesejahteraan kepada masyarakat luas, sehingga tujuan untuk memajukan kesejahteraan umum dapat tercapai sebagaimana yang diamanatkan oleh pembukaan Undang Undang Dasar Republik Indonesia 1945 serta dalam pasal 33 aayat 1 undang Undang Dasar Republik  Indonesia menyebutkan bahwa perekonomian disusun sebagai usaha bersama atas asas kekeluargaan guna meningkatkan taraf hidup bangsa Indonesia. Akhir akhir ini muncul kritikan bahwa perkembangan diterapkannya pertanggung jawaban pidana korporasi telah menyebabkan ketakutan bagi direksi perusahaan karena mereka bisa dijatuhi hukuman pidana dalam menjalankan usahanya. Para pakar ada yang berpendapat bahwa hukuman (pemidanaan) bagi korporasi adalah suatu kekeliruan atau sebuah kesalahan, pertanggung jawaban pidana tidak efiesien dan harus dibatalkan cukup hanya menjatuhkan sanksi pidana dan meminta pertanggung jawaban kepada individu karyawan /pegawai korporasi dan agen korporasi. Akan tetapi, harus disadari bahwa korporasi bukan hanya sebagai suatu entitas fiksi belaka, namun perbuatan (usaha yang dilaksanakannya) suatu yang nyata dan dapat menyebabkan kerugian yang signifikan terhadap individu dan masyarat luas.

Kata Kunci : Illegal Logging
",24
"ALIH FUNGSI TANAH PERTANIAN MENJADI 
NON PERTANIAN UNTUK PEMBANGUNAN PERUMAHAN 
DI KABUPATEN BANGKALAN
"," Priyatna Nur Rohim, SH."," Dr. Mufarrijul Ikhwan, SH,. Mhum.","Dr. Wartiningsih, SH, Mhum.","Peralihan fungsi tanah pertanian untuk pembangunan perumahan di  Bangkalan sebagaimana contoh perumahan di Jl. Halim Perdana Kusuma berawal dari status tanah Hak Milik yang dialihkan kepada orang lain melalui proses jual beli. Status dan fungsi peruntukan tanah di sekitar Jl. Halim Perdana Kusuma tersebut tergolong lahan yang diperuntukkan untuk lahan pertanian. Sedangkan proses peralihannya dengan cara pengajuan perubahan penggunaan tanah tersebut ke Kantor Pertanahan di Bangkalan, dan kemudian mengajukan permohonan ke Dinas Perijinan untuk mendirikan bangunan diatas tanah yang awalnya merupakan tanah pertanian tersebut. Proses peralihan tanah pertanian yang diperuntukkan pembangunan perumahan di Bangkalan tidak sesuai dengan Peraturan Daerah Daerah No. 5 Tahun 2013 tentang perlindungan lahan tanaman pangan berkelanjutan dan Peraturan Daerah No. 10 Tahun 2009 tentang Rencana tata ruang wilayah Kabupaten Bangkalan, Karena alih fungsi tanah pertanian yang merupakan lahan produktif yang seharusnya dipertahankan untuk menjadi lahan pertanian yang bisa memberikan penghasilan untuk petani
Kata Kunci : Alih Fungsi Tanah
",24
HUBUNGAN KEWENANGAN ANTARA PEMERINTAH DESA DAN PEMERINTAH DAERAH KABUPATEN/KOTA DALAM PENGELOLAAN KEUANGAN DESA ," Achmad Hariri, S.H."," Prof. Dr. Nunuk Nuswardani, S.H., M.H. "," Dr. Nurus Zaman, S.H., M.H ","Penelitian ini memiliki tujuan untuk menjawab dua masalah. Pertama, mengenai kedudukan kewenangan pemerintahan desa dalam pengelolaan keuangan desa. Kedua, mengenai bentuk hubungan kewenangan antara pemerintahan desa dan pemerintah daerah kabupaten/kota dalam pengelolaan keuangan desa. Metode penelitian yang digunakan adalah yuridis normatif dengan penekatan Perundang-undangan (statute approach) dan pendekatan konsep (conceptual approach).  Hasil penelitian ini adalah; Pertama, Pemerintah desa Memiliki Kewenangan dalam mengelola keuangan Desa, sebagai tindak lanjut pelaksanaan asas Otonomi, Ketentuan tersebut mengacu pada asas pengaturan Undang-Undang nomor 6 Tahun 2014 tentang Desa, yaitu asas Subsidiaritas. Kedua, Hubungan kewenangan antara pemerintah desa dan pemerintah daerah Kabupaten/Kota dalam pengelolaan keuangan desa merupakam kewenangan yang bersifat delegatif, hal tersebut dikarenakan adanya suatu pelimpahan wewenang kepada pemerintah desa, yaitu  kewenangan mengelola keuangan yang sumber utama  berasal dari keuangan Negara, yaitu dari Anggaran Pendapatan dan Belanja Negara (APBN) dan Anggaran Pendapatan dan Belanja Daerah (APBD),. disamping itu, Pemerintah Daerah sebagai pemerintah supradesa memiliki kewajiban untuk melakukan pengawasan, pembinaan dan evaluasi kepada pemerintah desa dalam pengelolaan keuangan pemerintah desa, sedangkan desa memiliki tanggungjawab untuk melaporkan pengelolaan keuangan desa pada pemerintah daerah Kabupaten/Kota.

Kata Kunci: Keuangan Desa, Pemerintahan Desa, Pemerintahan Daerah

",24
